,9
RoundNumber,8
Country,Azerbaijan
Location,Baku
OfficialEventName,FORMULA 1 AZERBAIJAN GRAND PRIX 2022
EventDate,2022-06-12 00:00:00
EventName,Azerbaijan Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2022-06-10 15:00:00+04:00
Session1DateUtc,2022-06-10 11:00:00
Session2,Practice 2
Session2Date,2022-06-10 18:00:00+04:00
Session2DateUtc,2022-06-10 14:00:00
Session3,Practice 3
Session3Date,2022-06-11 15:00:00+04:00
Session3DateUtc,2022-06-11 11:00:00
Session4,Qualifying
Session4Date,2022-06-11 18:00:00+04:00
Session4DateUtc,2022-06-11 14:00:00
Session5,Race
Session5Date,2022-06-12 15:00:00+04:00
Session5DateUtc,2022-06-12 11:00:00
F1ApiSupport,True
