,23
RoundNumber,23
Country,Qatar
Location,Lusail
OfficialEventName,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2025
EventDate,2025-11-30 00:00:00
EventName,Qatar Grand Prix
EventFormat,sprint_qualifying
Session1,Practice 1
Session1Date,2025-11-28 16:30:00+03:00
Session1DateUtc,2025-11-28 13:30:00
Session2,Sprint Qualifying
Session2Date,2025-11-28 20:30:00+03:00
Session2DateUtc,2025-11-28 17:30:00
Session3,Sprint
Session3Date,2025-11-29 17:00:00+03:00
Session3DateUtc,2025-11-29 14:00:00
Session4,Qualifying
Session4Date,2025-11-29 21:00:00+03:00
Session4DateUtc,2025-11-29 18:00:00
Session5,Race
Session5Date,2025-11-30 19:00:00+03:00
Session5DateUtc,2025-11-30 16:00:00
F1ApiSupport,True
