,17
RoundNumber,16
Country,Bahrain
Location,Sakhir
OfficialEventName,FORMULA 1 ROLEX SAKHIR GRAND PRIX 2020
EventDate,2020-12-06 00:00:00
EventName,Sakhir Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2020-12-04 16:30:00+03:00
Session1DateUtc,2020-12-04 13:30:00
Session2,Practice 2
Session2Date,2020-12-04 20:30:00+03:00
Session2DateUtc,2020-12-04 17:30:00
Session3,Practice 3
Session3Date,2020-12-05 17:00:00+03:00
Session3DateUtc,2020-12-05 14:00:00
Session4,Qualifying
Session4Date,2020-12-05 20:00:00+03:00
Session4DateUtc,2020-12-05 17:00:00
Session5,Race
Session5Date,2020-12-06 20:10:00+03:00
Session5DateUtc,2020-12-06 17:10:00
F1ApiSupport,True
