,Time,Status
0,0 days 00:00:03.035000,Inactive
1,0 days 00:14:59.169000,Started
2,0 days 00:28:26.040000,Aborted
3,0 days 00:30:43.054000,Inactive
4,0 days 00:31:59.259000,Started
5,0 days 00:36:33.224000,Finished
6,0 days 00:41:10.043000,Inactive
7,0 days 00:42:59.242000,Started
8,0 days 00:57:59.229000,Finished
9,0 days 01:04:07.183000,Inactive
10,0 days 01:05:59.251000,Started
11,0 days 01:11:25.117000,Aborted
12,0 days 01:19:48.680000,Inactive
13,0 days 01:21:59.204000,Started
14,0 days 01:28:34.146000,Finished
15,0 days 01:34:54.111000,Finalised
16,0 days 01:45:55.202000,Ends
