,8
RoundNumber,7
Country,Monaco
Location,Monaco
OfficialEventName,FORMULA 1 GRAND PRIX DE MONACO 2022
EventDate,2022-05-29 00:00:00
EventName,Monaco Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2022-05-27 14:00:00+02:00
Session1DateUtc,2022-05-27 12:00:00
Session2,Practice 2
Session2Date,2022-05-27 17:00:00+02:00
Session2DateUtc,2022-05-27 15:00:00
Session3,Practice 3
Session3Date,2022-05-28 13:00:00+02:00
Session3DateUtc,2022-05-28 11:00:00
Session4,Qualifying
Session4Date,2022-05-28 16:00:00+02:00
Session4DateUtc,2022-05-28 14:00:00
Session5,Race
Session5Date,2022-05-29 15:00:00+02:00
Session5DateUtc,2022-05-29 13:00:00
F1ApiSupport,True
