,21
RoundNumber,21
Country,Brazil
Location,São Paulo
OfficialEventName,FORMULA 1 MSC CRUISES GRANDE PRÊMIO DE SÃO PAULO 2025
EventDate,2025-11-09 00:00:00
EventName,São Paulo Grand Prix
EventFormat,sprint_qualifying
Session1,Practice 1
Session1Date,2025-11-07 11:30:00-03:00
Session1DateUtc,2025-11-07 14:30:00
Session2,Sprint Qualifying
Session2Date,2025-11-07 15:30:00-03:00
Session2DateUtc,2025-11-07 18:30:00
Session3,Sprint
Session3Date,2025-11-08 11:00:00-03:00
Session3DateUtc,2025-11-08 14:00:00
Session4,Qualifying
Session4Date,2025-11-08 15:00:00-03:00
Session4DateUtc,2025-11-08 18:00:00
Session5,Race
Session5Date,2025-11-09 14:00:00-03:00
Session5DateUtc,2025-11-09 17:00:00
F1ApiSupport,True
